side,cluster_id,blind_profit_sum,blind_bet_count,model_profit_sum,model_bet_count
OVER,2024020043:8476341,-2.0,2,-2.0,2
OVER,2024020044:8474596,-3.0,3,0.0,0
OVER,2024020045:8478048,2.5500000000000003,3,0.0,0
OVER,2024020045:8479312,-3.0,3,-3.0,3
OVER,2024020046:8477465,-3.0,3,0.0,0
OVER,2024020046:8478470,-3.0,3,0.0,0
OVER,2024020047:8478009,2.46,3,2.46,3
OVER,2024020047:8480382,2.5500000000000003,3,0.0,0
OVER,2024020048:8476883,2.66,3,2.66,3
OVER,2024020048:8481668,-3.0,3,-3.0,3
OVER,2024020049:8478499,-3.0,3,-2.0,2
OVER,2024020049:8480313,-3.0,3,0.0,0
OVER,2024020050:8474593,-3.0,3,0.0,0
OVER,2024020050:8481611,2.5,3,2.5,3
OVER,2024020051:8478007,-3.0,3,-2.0,2
OVER,2024020051:8481519,1.58,2,0.0,0
OVER,2024020052:8476412,-3.0,3,0.0,0
OVER,2024020052:8479406,2.5700000000000003,3,0.0,0
OVER,2024020053:8477424,2.79,3,0.0,0
OVER,2024020053:8478916,2.47,3,0.0,0
OVER,2024020054:8478406,2.5200000000000005,3,0.0,0
OVER,2024020054:8479979,2.41,3,2.41,3
OVER,2024020055:8475852,-3.0,3,0.0,0
OVER,2024020055:8481692,2.79,3,2.79,3
OVER,2024020056:8479973,2.5700000000000003,3,0.0,0
OVER,2024020056:8481035,2.4000000000000004,3,2.4000000000000004,3
OVER,2024020057:8477465,-3.0,3,0.0,0
OVER,2024020057:8480045,2.39,3,0.0,0
OVER,2024020058:8476932,2.42,3,2.42,3
OVER,2024020058:8479496,-2.0,2,-2.0,2
OVER,2024020059:8480382,-3.0,3,0.0,0
OVER,2024020060:8478971,1.55,2,0.0,0
OVER,2024020060:8480843,2.39,3,2.39,3
OVER,2024020061:8478470,-3.0,3,0.0,0
OVER,2024020062:8474593,2.5100000000000002,3,0.0,0
OVER,2024020062:8476341,2.66,3,2.66,3
OVER,2024020063:8471734,0.9099999999999999,1,0.0,0
OVER,2024020063:8475660,-3.0,3,-3.0,3
OVER,2024020064:8476883,-3.0,3,0.0,0
OVER,2024020065:8475683,2.5,3,2.5,3
OVER,2024020065:8480947,-2.0,2,0.0,0
OVER,2024020066:8479193,-3.0,3,0.0,0
OVER,2024020066:8479292,-3.0,3,-3.0,3
OVER,2024020067:8480193,-3.0,3,0.0,0
OVER,2024020067:8482221,-3.0,3,0.0,0
OVER,2024020068:8478009,2.8099999999999996,3,0.0,0
OVER,2024020068:8480981,1.8199999999999998,2,1.8199999999999998,2
OVER,2024020069:8475717,-2.0,2,-2.0,2
OVER,2024020069:8477424,2.38,3,2.38,3
OVER,2024020070:8475852,-3.0,3,0.0,0
OVER,2024020070:8477970,-3.0,3,0.0,0
OVER,2024020071:8475831,-2.0,2,0.0,0
OVER,2024020071:8478905,-2.0,2,0.0,0
OVER,2024020072:8475883,-2.0,2,0.0,0
OVER,2024020072:8482446,1.6,2,0.0,0
OVER,2024020073:8476945,-3.0,3,-3.0,3
OVER,2024020073:8478406,-3.0,3,0.0,0
OVER,2024020074:8480382,-3.0,3,0.0,0
OVER,2024020074:8480843,2.3600000000000003,3,0.0,0
OVER,2024020075:8476341,-3.0,3,-3.0,3
OVER,2024020076:8479312,2.6100000000000003,3,0.0,0
OVER,2024020077:8479973,-3.0,3,-3.0,3
OVER,2024020077:8479979,2.62,3,2.62,3
OVER,2024020078:8475683,-3.0,3,0.0,0
OVER,2024020079:8476932,-3.0,3,-3.0,3
OVER,2024020079:8478048,2.87,3,1.0499999999999998,1
OVER,2024020080:8474593,2.46,3,0.0,0
OVER,2024020081:8473575,-2.0,2,-2.0,2
OVER,2024020081:8480051,1.78,2,0.0,0
OVER,2024020082:8480947,-3.0,3,0.0,0
OVER,2024020082:8481035,2.46,3,2.46,3
OVER,2024020083:8479406,-3.0,3,0.0,0
OVER,2024020083:8480193,2.66,3,0.0,0
OVER,2024020084:8480981,1.6,2,0.0,0
OVER,2024020084:8481611,-3.0,3,-2.0,2
OVER,2024020085:8480045,2.5100000000000002,3,2.5100000000000002,3
OVER,2024020085:8482821,-2.0,2,0.0,0
OVER,2024020086:8478971,-3.0,3,0.0,0
OVER,2024020086:8480280,2.63,3,0.0,0
OVER,2024020087:8478435,-2.0,2,0.0,0
OVER,2024020087:8478916,-3.0,3,-3.0,3
OVER,2024020089:8477970,-1.0,1,0.0,0
OVER,2024020091:8476883,-2.0,2,0.0,0
OVER,2024020091:8476932,1.78,2,1.78,2
OVER,2024020092:8479292,-2.0,2,0.0,0
OVER,2024020092:8481035,1.57,2,1.57,2
OVER,2024020093:8475683,-2.0,2,-2.0,2
OVER,2024020093:8479406,-2.0,2,-2.0,2
OVER,2024020094:8474596,1.78,2,1.78,2
OVER,2024020094:8477992,0.9099999999999999,1,0.9099999999999999,1
OVER,2024020095:8479979,-2.0,2,-2.0,2
OVER,2024020095:8480045,1.8599999999999999,2,0.0,0
OVER,2024020096:8478048,-2.0,2,0.0,0
OVER,2024020096:8478470,-2.0,2,0.0,0
OVER,2024020097:8480193,-2.0,2,-2.0,2
OVER,2024020097:8483710,1.6600000000000001,2,1.6600000000000001,2
OVER,2024020098:8478009,-2.0,2,-2.0,2
OVER,2024020098:8479312,1.78,2,0.0,0
OVER,2024020099:8476412,-2.0,2,0.0,0
OVER,2024020099:8476945,1.78,2,0.0,0
OVER,2024020100:8475852,-2.0,2,0.0,0
OVER,2024020100:8480947,1.78,2,1.78,2
OVER,2024020102:8477968,-2.0,2,-2.0,2
OVER,2024020102:8481692,1.57,2,0.0,0
OVER,2024020103:8475883,1.6,2,1.6,2
OVER,2024020103:8479973,1.6600000000000001,2,0.0,0
OVER,2024020104:8476341,1.6600000000000001,2,0.0,0
OVER,2024020104:8478971,-2.0,2,-2.0,2
OVER,2024020105:8478406,1.6600000000000001,2,0.0,0
OVER,2024020105:8480843,1.7400000000000002,2,1.7400000000000002,2
OVER,2024020107:8478492,1.78,2,0.0,0
OVER,2024020107:8479496,-2.0,2,-2.0,2
OVER,2024020108:8478905,-2.0,2,0.0,0
OVER,2024020108:8480313,-2.0,2,0.0,0
OVER,2024020109:8479193,-1.0,1,0.0,0
OVER,2024020109:8480280,-2.0,2,0.0,0
OVER,2024020110:8476412,0.8300000000000001,1,0.0,0
OVER,2024020110:8479361,-2.0,2,-2.0,2
OVER,2024020111:8475660,1.7000000000000002,2,0.0,0
OVER,2024020112:8470594,-1.0,1,0.0,0
OVER,2024020112:8476883,-2.0,2,-2.0,2
OVER,2024020113:8475683,-2.0,2,0.0,0
OVER,2024020113:8478048,-2.0,2,-2.0,2
OVER,2024020114:8478435,1.8599999999999999,2,0.0,0
OVER,2024020114:8481611,0.95,1,0.95,1
OVER,2024020115:8478872,-2.0,2,0.0,0
OVER,2024020115:8481020,-1.0,1,0.0,0
OVER,2024020116:8476945,1.78,2,0.0,0
OVER,2024020117:8478406,-2.0,2,0.0,0
OVER,2024020117:8479496,1.78,2,1.78,2
OVER,2024020118:8476999,-1.0,1,0.0,0
OVER,2024020119:8474596,-2.0,2,-2.0,2
OVER,2024020119:8478009,1.6600000000000001,2,1.6600000000000001,2
OVER,2024020120:8475852,1.78,2,0.0,0
OVER,2024020121:8482446,1.8599999999999999,2,0.0,0
OVER,2024020122:8479312,1.6,2,1.6,2
OVER,2024020122:8480045,-1.0,1,0.0,0
OVER,2024020123:8479406,-1.0,1,0.0,0
OVER,2024020123:8481035,-2.0,2,-2.0,2
OVER,2024020125:8476932,1.78,2,0.0,0
OVER,2024020125:8480280,-2.0,2,-2.0,2
OVER,2024020126:8476412,-2.0,2,0.0,0
OVER,2024020126:8478470,1.8599999999999999,2,0.0,0
OVER,2024020127:8479292,-2.0,2,0.0,0
OVER,2024020128:8471734,1.9,2,1.9,2
OVER,2024020129:8481692,1.78,2,0.0,0
OVER,2024020130:8473575,-2.0,2,-2.0,2
OVER,2024020130:8481519,-2.0,2,0.0,0
OVER,2024020131:8480193,-2.0,2,0.0,0
OVER,2024020132:8479979,-2.0,2,-2.0,2
OVER,2024020133:8477968,1.6,2,0.0,0
