game_date,game_id,goalie_name,betting_line,goalie_id,team_abbrev,opponent_team,is_home,predicted_saves,prob_over,confidence_pct,confidence_bucket,recommendation,bet_amount,bet_selection,actual_saves,result,profit_loss,notes,line_over,line_under,ev,book
2026-01-07,2025020681,Askarov,26.5,8482137.0,SJS,LAK,0,26.20000076293945,0.4335189759731293,13.29620456695557,55-60%,UNDER,1.0,UNDER,23.0,WIN,0.9433962264150944,,-124.0,-106.0,,
2026-01-07,2025020679,Binnington,22.5,8476412.0,STL,CHI,0,22.5,0.4913549423217773,1.729011535644531,50-55%,NO BET,,NONE,28.0,NO BET,0.0,,-102.0,-129.0,,
2026-01-08,2025020690,Pickard,23.5,8475717.0,EDM,WPG,0,23.5,0.5035991668701172,0.7198333740234375,50-55%,NO BET,,NONE,13.0,NO BET,0.0,,-110.0,-118.0,,
2026-01-08,2025020693,Wallstedt,24.5,8482661.0,MIN,SEA,0,24.70000076293945,0.5376759171485901,7.535183429718018,50-55%,NO BET,,NONE,26.0,NO BET,0.0,,-113.0,-115.0,,
2026-01-08,2025020693,Grubauer,24.5,8475831.0,SEA,MIN,1,24.5,0.5031634569168091,0.6326913833618164,50-55%,NO BET,,NONE,31.0,NO BET,0.0,,-113.0,-115.0,,
2026-01-08,2025020692,Greaves,26.5,8482982.0,CBJ,VGK,0,26.5,0.5036318898200989,0.7263779640197754,50-55%,NO BET,,,21.0,NO BET,0.0,,-104.0,-125.0,,
2026-01-08,2025020692,,,,VGK,CBJ,1,,,,,,,NONE,,,,,,,,
2026-01-08,2025020691,,,,OTT,COL,0,,,,,,,NONE,,,,,,,,
2026-01-08,2025020691,wedgewood,23.5,8475809.0,COL,OTT,1,23.60000038146973,0.5212672352790833,4.25344705581665,50-55%,NO BET,,NONE,29.0,NO BET,0.0,,-117.0,-112.0,,
2026-01-08,2025020690,Hellebuyck,23.5,8476945.0,WPG,EDM,1,23.20000076293945,0.4485288858413696,10.29422283172607,55-60%,NO BET,,NONE,26.0,NO BET,0.0,,102.0,-132.0,,
2026-01-08,2025020686,hildeby,25.5,8483710.0,TOR,PHI,0,25.29999923706055,0.4661714434623718,6.765711307525635,50-55%,NO BET,,NONE,22.0,NO BET,0.0,,-108.0,-121.0,,
